# Raichle
Parameter 0: 13.774 [13.611, 13.899]
Parameter 1: 12.254 [9.574, 13.616]
Parameter 2: 53.920 [51.822, 56.692]
Parameter 3: 0.668 [0.506, 0.823]
Parameter 4: 7.661 [6.838, 8.567]
Parameter 5: 1.958 [1.735, 2.301]
Parameter 6: -1.378 [-1.735, -1.146]
Parameter 7: -0.023 [-0.102, -0.001]
Parameter 8: 60.026 [8.472, 195.753]
Parameter 9: 0.074 [0.064, 0.080]
Parameter 10: 0.027 [0.021, 0.032]
Parameter 11: 0.014 [0.001, 0.032]
Parameter 12: 2.427 [0.606, 4.370]
Parameter 13: 0.008 [0.007, 0.009]
Parameter 14: 0.014 [0.011, 0.017]
Parameter 15: 0.866 [0.820, 0.918]
Parameter 16: 0.013 [0.012, 0.016]
Parameter 17: 17.588 [17.301, 17.965]
Parameter 18: -8.638 [-8.883, -8.422]
Parameter 19: 0.049 [0.047, 0.050]

# Mintun
Parameter 0: 0.511 [0.497, 0.524]
Parameter 1: 0.245 [0.202, 0.430]
Parameter 2: 0.775 [0.523, 0.987]
Parameter 3: 5.627 [0.341, 8.981]
Parameter 4: -5.361 [-8.707, -0.001]
Parameter 5: 0.029 [0.023, 0.039]

# Mintun IDIF 1
Parameter 0: 1.457 [0.150, 2.995]
Parameter 1: 0.580 [0.019, 8.315]
Parameter 2: 34.389 [6.466, 42.305]
Parameter 3: 4.819 [1.713, 5.264]
Parameter 4: 12.877 [11.161, 17.681]
Parameter 5: 5.786 [3.574, 6.464]
Parameter 6: -3.594 [-4.109, -0.134]
Parameter 7: -4.826 [-8.976, -2.070]
Parameter 8: 157.016 [100.215, 277.461]
Parameter 9: 0.587 [0.398, 0.629]
Parameter 10: 0.058 [0.004, 0.160]
Parameter 11: 0.214 [0.030, 0.247]
Parameter 12: 3.736 [1.790, 4.460]
Parameter 13: 0.088 [0.084, 0.097]
Parameter 14: 0.197 [0.141, 0.214]
Parameter 15: 0.377 [0.248, 0.587]
Parameter 16: 0.985 [0.875, 0.999]
Parameter 17: 12.271 [4.428, 13.003]
Parameter 18: -3.426 [-4.285, 5.023]
